Train step=31700, hour=10, Loss = 1.1483618436614051e-05
Train step=31800, hour=10, Loss = 7.032969278952805e-06
Train step=31900, hour=10, Loss = 6.7151222538086586e-06
Train step=32000, hour=11, Loss = 1.0352028766646981e-05
Train step=32100, hour=11, Loss = 7.577125415991759e-06
Train step=32200, hour=11, Loss = 6.991599548200611e-06
Train step=32300, hour=11, Loss = 7.163248483266216e-06
Train step=32400, hour=11, Loss = 6.897612365719397e-06
Train step=32500, hour=11, Loss = 6.634818873862969e-06
Train step=32600, hour=11, Loss = 6.895942078699591e-06
Train step=32700, hour=11, Loss = 6.601552740903571e-06
Train step=32800, hour=11, Loss = 6.531924555019941e-06
Train step=32900, hour=11, Loss = 6.989240318944212e-06
Train step=33000, hour=11, Loss = 6.601392215088708e-06
Train step=33100, hour=11, Loss = 6.5226831793552265e-06
Train step=33200, hour=11, Loss = 6.7607147684611846e-06
Train step=33300, hour=11, Loss = 6.497324648080394e-06
Train step=33400, hour=11, Loss = 6.608884177694563e-06
Train step=33500, hour=11, Loss = 6.724004833813524e-06
Train step=33600, hour=11, Loss = 6.971729817450978e-06
Train step=33700, hour=11, Loss = 6.554891115229111e-06
Train step=33800, hour=11, Loss = 7.418526365654543e-06
Train step=33900, hour=11, Loss = 7.083656328177312e-06
Train step=34000, hour=11, Loss = 7.561914117104607e-06
Train step=34100, hour=11, Loss = 1.4136436220724136e-05
Train step=34200, hour=11, Loss = 6.5565959630475845e-06
Train step=34300, hour=11, Loss = 6.797009518777486e-06
Train step=34400, hour=12, Loss = 2.21774862438906e-05
Train step=34500, hour=12, Loss = 1.0807641956489533e-05
Train step=34600, hour=12, Loss = 1.088216777134221e-05
Train step=34700, hour=12, Loss = 7.816490324330516e-06
Train step=34800, hour=12, Loss = 8.423003237112425e-06
Train step=34900, hour=12, Loss = 6.928017683094367e-06
Train step=35000, hour=12, Loss = 7.02602574165212e-06
Train step=35100, hour=12, Loss = 7.036078386590816e-06
Train step=35200, hour=12, Loss = 6.63480432194774e-06
Train step=35300, hour=12, Loss = 6.5406711655668914e-06
Train step=35400, hour=12, Loss = 6.539985406561755e-06
Train step=35500, hour=12, Loss = 7.213455319288187e-06
Train step=35600, hour=12, Loss = 7.0219221015577205e-06
Train step=35700, hour=12, Loss = 6.871769983263221e-06
Train step=35800, hour=12, Loss = 7.13301506038988e-06
Train step=35900, hour=12, Loss = 7.4894869612762704e-06
Train step=36000, hour=12, Loss = 7.225699846458156e-06
Train step=36100, hour=12, Loss = 6.417569238692522e-06
Train step=36200, hour=12, Loss = 6.452635716414079e-06
Train step=36300, hour=13, Loss = 5.823047467856668e-05
