Train step=13300, hour=8, Loss = 6.111774444580078
Train step=13400, hour=9, Loss = 9.655961990356445
Train step=13500, hour=9, Loss = 8.31653881072998
Train step=13600, hour=9, Loss = 7.141037940979004
Train step=13700, hour=9, Loss = 6.900480270385742
Train step=13800, hour=9, Loss = 6.035165786743164
Train step=13900, hour=9, Loss = 7.2864179611206055
Train step=14000, hour=9, Loss = 5.6124982833862305
Train step=14100, hour=9, Loss = 6.955158233642578
Train step=14200, hour=9, Loss = 5.416711807250977
Train step=14300, hour=9, Loss = 10.496210098266602
Train step=14400, hour=9, Loss = 4.851411819458008
Train step=14500, hour=9, Loss = 5.06443977355957
Train step=14600, hour=9, Loss = 3.1939547061920166
Train step=14700, hour=9, Loss = 5.083391189575195
Train step=14800, hour=9, Loss = 3.9036436080932617
Train step=14900, hour=10, Loss = 9.817581176757812
Train step=15000, hour=10, Loss = 8.394622802734375
Train step=15100, hour=10, Loss = 5.282998085021973
Train step=15200, hour=10, Loss = 5.326185703277588
Train step=15300, hour=10, Loss = 5.788835525512695
Train step=15400, hour=10, Loss = 5.556482315063477
Train step=15500, hour=10, Loss = 4.826800346374512
Train step=15600, hour=10, Loss = 5.161413669586182
Train step=15700, hour=10, Loss = 6.420767307281494
Train step=15800, hour=10, Loss = 6.022116661071777
Train step=15900, hour=10, Loss = 5.381807804107666
Train step=16000, hour=10, Loss = 8.347151756286621
Train step=16100, hour=10, Loss = 6.265252113342285
Train step=16200, hour=10, Loss = 5.104187488555908
Train step=16300, hour=10, Loss = 5.422151565551758
Train step=16400, hour=10, Loss = 4.652233600616455
Train step=16500, hour=11, Loss = 9.40017032623291
Train step=16600, hour=11, Loss = 7.634488105773926
Train step=16700, hour=11, Loss = 4.597436428070068
Train step=16800, hour=11, Loss = 7.433290481567383
Train step=16900, hour=11, Loss = 3.9243686199188232
Train step=17000, hour=11, Loss = 5.193082809448242
Train step=17100, hour=11, Loss = 3.7712225914001465
Train step=17200, hour=11, Loss = 6.415675163269043
Train step=17300, hour=11, Loss = 5.4888834953308105
Train step=17400, hour=11, Loss = 4.516046524047852
Train step=17500, hour=11, Loss = 5.6299543380737305
Train step=17600, hour=11, Loss = 5.087370872497559
Train step=17700, hour=11, Loss = 6.542839050292969
Train step=17800, hour=12, Loss = 8.769243240356445
Train step=17900, hour=12, Loss = 8.837478637695312
Train step=18000, hour=12, Loss = 5.532959461212158
Train step=18100, hour=12, Loss = 8.4872465133667
Train step=18200, hour=12, Loss = 6.19273567199707
Train step=18300, hour=12, Loss = 7.040342330932617
Train step=18400, hour=12, Loss = 6.710599899291992
Train step=18500, hour=12, Loss = 6.962497711181641
Train step=18600, hour=12, Loss = 6.594142436981201
Train step=18700, hour=12, Loss = 5.977782726287842
Train step=18800, hour=12, Loss = 4.114436626434326
Train step=18900, hour=12, Loss = 4.975591659545898
Train step=19000, hour=12, Loss = 4.344482421875
Train step=19100, hour=12, Loss = 0.8257796764373779
