time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464782880,2319,2319,2319,2319,0,0
1464782940,2335,2335,2335,2335,0,0
1464783000,2345,2345,2345,2345,0,0
1464783060,2357,2357,2357,2357,0,0
1464783120,2364,2364,2364,2364,0,0
1464783180,2383,2383,2383,2383,0,0
1464783240,2390,2390,2390,2390,0,0
1464783300,2407,2407,2407,2407,0,0
1464783360,2419,2419,2419,2419,0,0
1464783420,2430,2430,2430,2430,0,0
1464783480,2443,2443,2443,2443,0,0
1464783540,2453,2453,2453,2453,0,0
1464783600,2464,2464,2464,2464,0,0
1464783660,2474,2474,2474,2474,0,0
1464783720,2484,2484,2484,2484,0,0
1464783780,2499,2499,2499,2499,0,0
1464783840,2512,2512,2512,2512,0,0
1464783900,2523,2523,2523,2523,0,0
1464783960,2531,2531,2531,2531,0,0
1464784020,2547,2547,2547,2547,0,0
1464784080,2563,2563,2563,2563,0,0
1464784140,2579,2579,2579,2579,0,0
1464784200,2593,2593,2593,2593,0,0
1464784260,2613,2613,2613,2613,0,0
1464784320,2623,2623,2623,2623,0,0
1464784380,2636,2636,2636,2636,0,0
1464784440,2653,2653,2653,2653,0,0
1464784500,2664,2664,2664,2664,0,0
1464784560,2675,2675,2675,2675,0,0
1464784620,2689,2689,2689,2689,0,0
1464784680,2697,2697,2697,2697,0,0
1464784740,2709,2709,2709,2709,0,0
1464784800,2722,2722,2722,2722,0,0
1464784860,2729,2729,2729,2729,0,0
1464784920,2741,2741,2741,2741,0,0
1464784980,2761,2761,2761,2761,0,0
1464785040,2773,2773,2773,2773,0,0
1464785100,2788,2788,2788,2788,0,0
1464785160,2798,2798,2798,2798,0,0
1464785220,2819,2819,2819,2819,0,0
1464785280,2836,2836,2836,2836,0,0
1464785340,2851,2851,2851,2851,0,0
1464785400,2865,2865,2865,2865,0,0
1464785460,2880,2880,2880,2880,0,0
1464785520,2898,2898,2898,2898,0,0
1464785580,2913,2913,2913,2913,0,0
1464785640,2926,2926,2926,2926,0,0
1464785700,2941,2941,2941,2941,0,0
1464785760,2957,2957,2957,2957,0,0
1464785820,2965,2965,2965,2965,0,0
1464785880,2972,2972,2972,2972,0,0
1464785940,2982,2982,2982,2982,0,0
1464786000,2999,2999,2999,2999,0,0
1464786060,2999,2999,2999,2999,0,0
1464786120,2999,2999,2999,2999,0,0
1464786180,2999,2999,2999,2999,0,0
1464786240,2999,2999,2999,2999,0,0
1464786300,2999,2999,2999,2999,0,0
1464786360,2999,2999,2999,2999,0,0
1464786420,2999,2999,2999,2999,0,0
1464786480,2999,2999,2999,2999,0,0
1464786540,2999,2999,2999,2999,0,0
1464786600,2999,2999,2999,2999,0,0
1464786660,2999,2999,2999,2999,0,0
1464786720,2999,2999,2999,2999,0,0
1464786780,2999,2999,2999,2999,0,0
1464786840,2999,2999,2999,2999,0,0
1464786900,2999,2999,2999,2999,0,0
1464786960,2999,2999,2999,2999,0,0
1464787020,2999,2999,2999,2999,0,0
1464787080,2999,2999,2999,2999,0,0
1464787140,2999,2999,2999,2999,0,0
1464787200,2999,2999,2999,2999,0,0
1464787260,2999,2999,2999,2999,0,0
1464787320,2999,2999,2999,2999,0,0
1464787380,2999,2999,2999,2999,0,0
1464787440,2999,2999,2999,2999,0,0
1464787500,2999,2999,2999,2999,0,0
1464787560,2999,2999,2999,2999,0,0
1464787620,2999,2999,2999,2999,0,0
1464787680,2999,2999,2999,2999,0,0
1464787740,2999,2999,2999,2999,0,0
1464787800,2999,2999,2999,2999,0,0
1464787860,2999,2999,2999,2999,0,0
1464787920,2999,2999,2999,2999,0,0
