Train step=24300, hour=8, Loss = 9.990217222366482e-06
Train step=24400, hour=8, Loss = 9.65935305430321e-06
Train step=24500, hour=8, Loss = 9.909832442644984e-06
Train step=24600, hour=8, Loss = 9.644746569392737e-06
Train step=24700, hour=8, Loss = 9.395500455866568e-06
Train step=24800, hour=8, Loss = 9.000610589282587e-06
Train step=24900, hour=8, Loss = 9.588056855136529e-06
Train step=25000, hour=8, Loss = 8.053275450947694e-06
Train step=25100, hour=8, Loss = 1.0389871931693051e-05
Train step=25200, hour=8, Loss = 7.965320037328638e-06
Train step=25300, hour=8, Loss = 8.564310519432183e-06
Train step=25400, hour=8, Loss = 1.332663759967545e-05
Train step=25500, hour=8, Loss = 1.7387550542480312e-05
Train step=25600, hour=8, Loss = 9.50368121266365e-06
Train step=25700, hour=8, Loss = 8.612898454884999e-06
Train step=25800, hour=8, Loss = 3.6829304008278996e-05
Train step=25900, hour=8, Loss = 1.1506670489325188e-05
Train step=26000, hour=8, Loss = 1.0703422049118672e-05
Train step=26100, hour=8, Loss = 2.741196658462286e-05
Train step=26200, hour=8, Loss = 8.741365491005126e-06
Train step=26300, hour=8, Loss = 9.081943971978035e-06
Train step=26400, hour=9, Loss = 3.930554521502927e-05
Train step=26500, hour=9, Loss = 1.2404109838826116e-05
Train step=26600, hour=9, Loss = 1.192774379887851e-05
Train step=26700, hour=9, Loss = 8.623361281934194e-06
Train step=26800, hour=9, Loss = 8.383360182051547e-06
Train step=26900, hour=9, Loss = 7.681317583774216e-06
Train step=27000, hour=9, Loss = 7.547955192421796e-06
Train step=27100, hour=9, Loss = 7.117503628251143e-06
Train step=27200, hour=9, Loss = 7.069927050906699e-06
Train step=27300, hour=9, Loss = 6.9272318796720356e-06
Train step=27400, hour=9, Loss = 6.821069746365538e-06
Train step=27500, hour=9, Loss = 6.7530368141888175e-06
Train step=27600, hour=9, Loss = 6.725445018673781e-06
Train step=27700, hour=9, Loss = 6.706736712658312e-06
Train step=27800, hour=9, Loss = 6.622366527153645e-06
Train step=27900, hour=9, Loss = 6.622405635425821e-06
Train step=28000, hour=9, Loss = 6.650417162745725e-06
Train step=28100, hour=9, Loss = 6.6460229390941095e-06
Train step=28200, hour=9, Loss = 6.484685400209855e-06
Train step=28300, hour=9, Loss = 6.611231128772488e-06
Train step=28400, hour=9, Loss = 6.527648565679556e-06
Train step=28500, hour=9, Loss = 6.461872544605285e-06
Train step=28600, hour=9, Loss = 6.539440619235393e-06
Train step=28700, hour=9, Loss = 6.540148206113372e-06
Train step=28800, hour=9, Loss = 6.401020073099062e-06
Train step=28900, hour=10, Loss = 0.0036863223649561405
Train step=29000, hour=10, Loss = 6.452178058680147e-05
Train step=29100, hour=10, Loss = 3.9587692299392074e-05
Train step=29200, hour=10, Loss = 4.158415686106309e-05
Train step=29300, hour=10, Loss = 2.382866296102293e-05
Train step=29400, hour=10, Loss = 1.4242870747693814e-05
Train step=29500, hour=10, Loss = 1.2591362974490039e-05
Train step=29600, hour=10, Loss = 1.0220914191449992e-05
Train step=29700, hour=10, Loss = 1.1423374417063314e-05
Train step=29800, hour=10, Loss = 9.723520633997396e-06
Train step=29900, hour=10, Loss = 9.759458407643251e-06
Train step=30000, hour=10, Loss = 9.555758879287168e-06
Train step=30100, hour=10, Loss = 8.399132639169693e-06
Train step=30200, hour=10, Loss = 1.7539610780659132e-05
Train step=30300, hour=10, Loss = 1.2750335372402333e-05
Train step=30400, hour=10, Loss = 7.644646757398732e-06
Train step=30500, hour=10, Loss = 9.073826731764711e-06
Train step=30600, hour=10, Loss = 2.28170829359442e-05
Train step=30700, hour=10, Loss = 1.5871821233304217e-05
Train step=30800, hour=10, Loss = 8.908262316253968e-06
Train step=30900, hour=10, Loss = 1.2585769582074136e-05
Train step=31000, hour=10, Loss = 8.783075827523135e-06
Train step=31100, hour=10, Loss = 9.056812814378645e-06
Train step=31200, hour=10, Loss = 1.5827590686967596e-05
Train step=31300, hour=10, Loss = 1.0608437150949612e-05
Train step=31400, hour=11, Loss = 1.9154704204993322e-05
Train step=31500, hour=11, Loss = 1.107401567423949e-05
Train step=31600, hour=11, Loss = 9.164706170849968e-06
Train step=31700, hour=11, Loss = 9.333738489658572e-06
Train step=31800, hour=11, Loss = 7.614727110194508e-06
Train step=31900, hour=11, Loss = 7.456636012648232e-06
Train step=32000, hour=11, Loss = 7.400962203973904e-06
Train step=32100, hour=11, Loss = 7.996875865501352e-06
Train step=32200, hour=11, Loss = 7.162065230659209e-06
Train step=32300, hour=11, Loss = 7.063903467496857e-06
Train step=32400, hour=11, Loss = 7.1075996856961865e-06
Train step=32500, hour=11, Loss = 6.983477305766428e-06
Train step=32600, hour=11, Loss = 6.993264378252206e-06
Train step=32700, hour=11, Loss = 7.33572323952103e-06
Train step=32800, hour=11, Loss = 7.2511184043833055e-06
Train step=32900, hour=11, Loss = 9.937371942214668e-06
Train step=33000, hour=11, Loss = 7.220671250252053e-06
Train step=33100, hour=11, Loss = 7.743593414488714e-06
Train step=33200, hour=11, Loss = 6.736686373187695e-06
Train step=33300, hour=11, Loss = 6.6152460931334645e-06
Train step=33400, hour=11, Loss = 9.994984793593176e-06
Train step=33500, hour=11, Loss = 9.415337444806937e-06
Train step=33600, hour=11, Loss = 6.5036215346481185e-06
Train step=33700, hour=12, Loss = 5.193469041842036e-05
Train step=33800, hour=12, Loss = 1.9436409274931066e-05
Train step=33900, hour=12, Loss = 1.9224386051064357e-05
Train step=34000, hour=12, Loss = 1.4070520592213143e-05
Train step=34100, hour=12, Loss = 1.3869818758394103e-05
Train step=34200, hour=12, Loss = 1.0023170034401119e-05
Train step=34300, hour=12, Loss = 9.061410310096107e-06
Train step=34400, hour=12, Loss = 8.257424269686453e-06
Train step=34500, hour=12, Loss = 1.039705875882646e-05
Train step=34600, hour=12, Loss = 8.15580460766796e-06
Train step=34700, hour=12, Loss = 7.454555998265278e-06
Train step=34800, hour=12, Loss = 8.459841410513036e-06
Train step=34900, hour=12, Loss = 8.634266123408452e-06
Train step=35000, hour=12, Loss = 9.703094292490277e-06
Train step=35100, hour=12, Loss = 7.59051999921212e-06
Train step=35200, hour=12, Loss = 6.947442670934834e-06
Train step=35300, hour=12, Loss = 1.245293333340669e-05
Train step=35400, hour=12, Loss = 7.550131613243138e-06
Train step=35500, hour=12, Loss = 7.186614311649464e-06
Train step=35600, hour=12, Loss = 9.51217589317821e-06
Train step=35700, hour=12, Loss = 7.064315013849409e-06
Train step=35800, hour=12, Loss = 8.150851499522105e-06
Train step=35900, hour=12, Loss = 9.09740265342407e-06
Train step=36000, hour=13, Loss = 0.00012311970931477845
Train step=36100, hour=13, Loss = 7.648860628250986e-05
Train step=36200, hour=13, Loss = 2.688461245270446e-05
Train step=36300, hour=13, Loss = 2.3804797820048407e-05
Train step=36400, hour=13, Loss = 1.5690529835410416e-05
Train step=36500, hour=13, Loss = 1.7316071534878574e-05
Train step=36600, hour=13, Loss = 1.257630719919689e-05
Train step=36700, hour=13, Loss = 1.3926718565926421e-05
Train step=36800, hour=13, Loss = 1.180746858153725e-05
Train step=36900, hour=13, Loss = 1.011897711578058e-05
Train step=37000, hour=13, Loss = 9.623414371162653e-06
Train step=37100, hour=13, Loss = 9.241057341569103e-06
Train step=37200, hour=13, Loss = 1.009420429909369e-05
